text,label
Company website information,Public
Company secret business strategy document,Confidential
Company social media announcement,Public
Office sports event notice,Public
Company website information,Public
Private client contract agreement,Confidential
Customer payment information,Confidential
Company website information,Public
Company holiday announcement,Public
Company newsletter,Public
Company newsletter,Public
Public festival celebration announcement,Public
Public product advertisement,Public
Employee tax details,Confidential
Employee training schedule,Public
Company revenue report,Confidential
Company secret business strategy document,Confidential
Employee payroll details and bonus information,Confidential
Confidential customer database,Confidential
Internal financial statement of company,Confidential
Public internship announcement,Public
Company revenue report,Confidential
Internal financial statement of company,Confidential
Private employee performance report,Confidential
Public recruitment advertisement,Public
General company information,Public
Company newsletter,Public
Office event invitation,Public
Confidential merger discussion document,Confidential
Company social media announcement,Public
Public internship announcement,Public
Company social media announcement,Public
Company secret business strategy document,Confidential
Company website information,Public
Office sports event notice,Public
General company information,Public
Confidential merger discussion document,Confidential
Customer payment information,Confidential
Confidential merger discussion document,Confidential
Company revenue report,Confidential
Public recruitment advertisement,Public
Vendor payment details,Confidential
Confidential customer database,Confidential
Company website information,Public
Public internship announcement,Public
Internal financial statement of company,Confidential
Private client contract agreement,Confidential
Annual public meeting announcement,Public
Internal HR salary analysis,Confidential
Database password and API key information,Confidential
Company social media announcement,Public
Employee tax details,Confidential
Employee payroll details and bonus information,Confidential
Employee Aadhaar number and PAN details,Confidential
Employee payroll details and bonus information,Confidential
Insurance customer information,Confidential
Private employee performance report,Confidential
Office event invitation,Public
Private client contract agreement,Confidential
Public recruitment advertisement,Public
Insurance customer information,Confidential
Public product advertisement,Public
Public product advertisement,Public
Public product advertisement,Public
Marketing brochure,Public
Employee training schedule,Public
Annual public meeting announcement,Public
Internal HR salary analysis,Confidential
Employee tax details,Confidential
Employee personal information record,Confidential
Company holiday announcement,Public
Employee training schedule,Public
Employee personal information record,Confidential
Company social media announcement,Public
Office event invitation,Public
Company revenue report,Confidential
Office sports event notice,Public
Internal HR salary analysis,Confidential
Employee Aadhaar number and PAN details,Confidential
Company holiday announcement,Public
Private client contract agreement,Confidential
Office sports event notice,Public
Public festival celebration announcement,Public
Internal HR salary analysis,Confidential
Vendor payment details,Confidential
Employee attendance and salary report,Confidential
Internal financial statement of company,Confidential
Internal financial statement of company,Confidential
Public internship announcement,Public
Public internship announcement,Public
Marketing brochure,Public
Public product advertisement,Public
Annual public meeting announcement,Public
Company revenue report,Confidential
Confidential merger discussion document,Confidential
Database password and API key information,Confidential
Customer credit card information and transaction details,Confidential
Employee payroll details and bonus information,Confidential
Customer credit card information and transaction details,Confidential
Employee training schedule,Public
Customer support contact information,Public
General company information,Public
Employee Aadhaar number and PAN details,Confidential
Company newsletter,Public
Public internship announcement,Public
Company holiday announcement,Public
Public festival celebration announcement,Public
Annual public meeting announcement,Public
Office sports event notice,Public
Company newsletter,Public
Private client contract agreement,Confidential
General company information,Public
General company information,Public
Public festival celebration announcement,Public
Company bank account information,Confidential
Private client contract agreement,Confidential
Marketing brochure,Public
Office event invitation,Public
Private client contract agreement,Confidential
Employee attendance and salary report,Confidential
Confidential customer database,Confidential
Employee salary report for September 2025,Confidential
Company newsletter,Public
Employee Aadhaar number and PAN details,Confidential
Office sports event notice,Public
Employee personal information record,Confidential
Customer payment information,Confidential
Public recruitment advertisement,Public
Public festival celebration announcement,Public
Company secret business strategy document,Confidential
Insurance customer information,Confidential
Public product advertisement,Public
General company information,Public
Customer credit card information and transaction details,Confidential
Employee Aadhaar number and PAN details,Confidential
Company holiday announcement,Public
Employee Aadhaar number and PAN details,Confidential
Office event invitation,Public
Public internship announcement,Public
Customer credit card information and transaction details,Confidential
Employee attendance and salary report,Confidential
Vendor payment details,Confidential
Employee Aadhaar number and PAN details,Confidential
Public internship announcement,Public
Company holiday announcement,Public
Public internship announcement,Public
Confidential merger discussion document,Confidential
Internal financial statement of company,Confidential
Customer payment information,Confidential
Employee personal information record,Confidential
Company bank account information,Confidential
Confidential merger discussion document,Confidential
Internal financial statement of company,Confidential
Company newsletter,Public
Private client contract agreement,Confidential
Confidential customer database,Confidential
General company information,Public
Company social media announcement,Public
Confidential merger discussion document,Confidential
Customer support contact information,Public
Office sports event notice,Public
Database password and API key information,Confidential
Customer payment information,Confidential
Annual public meeting announcement,Public
Public internship announcement,Public
Marketing brochure,Public
Employee personal information record,Confidential
Public recruitment advertisement,Public
Employee payroll details and bonus information,Confidential
Customer credit card information and transaction details,Confidential
Marketing brochure,Public
Company secret business strategy document,Confidential
Employee attendance and salary report,Confidential
Company newsletter,Public
General company information,Public
Customer support contact information,Public
Office sports event notice,Public
Database password and API key information,Confidential
Company social media announcement,Public
Company secret business strategy document,Confidential
Public festival celebration announcement,Public
Internal HR salary analysis,Confidential
Employee training schedule,Public
Office event invitation,Public
Company bank account information,Confidential
Company social media announcement,Public
Marketing brochure,Public
Customer credit card information and transaction details,Confidential
Customer support contact information,Public
Customer payment information,Confidential
Company secret business strategy document,Confidential
Annual public meeting announcement,Public
General company information,Public
Office event invitation,Public
Public internship announcement,Public
Customer payment information,Confidential
Company social media announcement,Public
Database password and API key information,Confidential
Insurance customer information,Confidential
Internal HR salary analysis,Confidential
Public internship announcement,Public
Company holiday announcement,Public
